id,name,operator,status,pointSource,pointSourceName,mapSource,digitizedBy,digitizedDate,siteType,cameraHeightFeet,notes,longitude,latitude
digitized-camera-31,Bearwallow Butte,EnviroVision Solutions,Operational,usfs_communications_sites,BEARWALLOW BUTTE,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-121.552069,44.07856
digitized-camera-32,Hagen,EnviroVision Solutions,Operational,usfs_communications_sites,MT HAGAN,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-122.410502,44.139149
digitized-camera-33,Big Rock,EnviroVision Solutions,Operational,standing-lookouts,Big Rock,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,2 Story cab,,,-122.451015,44.268026
digitized-camera-34,Cougar Rock,EnviroVision Solutions,Operational,usfs_communications_sites,COUGAR ROCK,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-122.310519,44.479754
digitized-camera-35,Green Peter,EnviroVision Solutions,Operational,standing-lookouts,Green Peter,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Ground,,,-122.582894,44.483066
digitized-camera-36,Foley Butte,EnviroVision Solutions,Operational,standing-lookouts,Foley Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-120.784995,44.527027
digitized-camera-37,Gerow Butte,EnviroVision Solutions,Operational,standing-lookouts,Gerow Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-120.460077,44.263359
digitized-camera-38,Sidwalter,Pano AI,Operational,standing-lookouts,Sidwalter Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,name mismatch,-121.539302,44.92621
digitized-camera-39,Flag Point,EnviroVision Solutions,Operational,usfs_communications_sites,FLAG POINT,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-121.466612,45.317845
digitized-camera-40,Whale Head,Pano AI,Operational,usfs_communications_sites,WHALEHEAD,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-122.119184,45.10657
digitized-camera-41,Memaloose,Pano AI,Operational,usfs_communications_sites,MEMALOOSE,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-122.182615,45.186166
digitized-camera-42,Hickman Butte Lookout,ALERTWest,Planned,standing-lookouts,Hickman Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,name mismatch,-121.911251,45.412484
digitized-camera-43,Mt Defiance,ALERTWest,Operational,usfs_communications_sites,MT DEFIANCE,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-121.722629,45.648653
digitized-camera-44,Tamarack,EnviroVision Solutions,Planned,standing-lookouts,Tamarack Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,name mismatch,-119.661448,44.873779
digitized-camera-45,Black Mountain,EnviroVision Solutions,Operational,usfs_communications_sites,BLACK MOUNTAIN,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-119.296538,45.212869
digitized-camera-46,Ritter Butte,EnviroVision Solutions,Operational,standing-lookouts,Ritter Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,3 Story cab,,,-119.07143,44.833624
digitized-camera-47,Mt Ireland,EnviroVision Solutions,Planned,standing-lookouts,"Ireland, Mount",Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Ground,,name mismatch,-118.320485,44.836903
digitized-camera-48,Glass Hill,EnviroVision Solutions,Planned,standing-lookouts,Glass Hill,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-118.075168,45.205016
digitized-camera-49,Mt Harris,EnviroVision Solutions,Operational,standing-lookouts,"Harris, Mount",Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,name mismatch,-117.893078,45.440419
digitized-camera-50,Howard Butte,EnviroVision Solutions,Operational,standing-lookouts,Howard Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-117.737165,45.723766
digitized-camera-51,Tope Creek,EnviroVision Solutions,Planned,standing-lookouts,Tope Creek,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-117.4034,45.652759
digitized-camera-52,Elk Mountain NEO,EnviroVision Solutions,Operational,standing-lookouts,Elk Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Ground,,name mismatch,-117.205406,45.598172
digitized-camera-53,Halfway,ALERTWest,Operational,standing-lookouts,Halfway (Pine Range Station),Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,name mismatch,-117.088283,44.860047
digitized-camera-54,Swan Lake Point,ALERTWest,Planned,usfs_communications_sites,SWAN LAKE,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-121.668641,42.408293
digitized-camera-55,Manzanita,EnviroVision Solutions,Operational,ODF_sites,Manzanita,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.449863,42.304302
digitized-camera-56,Tallowbox,EnviroVision Solutions,Operational,ODF_sites,Tallowbox,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.151586,42.19635
digitized-camera-57,Chicken Hills,EnviroVision Solutions,Operational,ODF_sites,Chicken Hills,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-122.025026,42.046024
digitized-camera-58,Isabelle,Joint Site,Operational,ODF_sites,Isabelle,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.104498,42.303188
digitized-camera-59,Eight Dollar Mountain,Joint Site,Operational,usfs_communications_sites,EIGHT DOLLAR MOUNTAIN,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,name mismatch,-123.661515,42.258382
digitized-camera-60,Bieberstedt Butte,EnviroVision Solutions,Operational,ODF_sites,Bieberstedt Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-122.472879,42.41048
digitized-camera-61,Flounce,EnviroVision Solutions,Operational,ODF_sites,Flounce Rock,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,name mismatch,-122.608768,42.727752
digitized-camera-62,Cedar Springs Mountain,EnviroVision Solutions,Operational,ODF_sites,Cedar Springs Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.122302,42.761729
digitized-camera-63,Peavine,EnviroVision Solutions,Operational,ODF_sites,Peavine,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.642076,42.601753
digitized-camera-64,Reuben,EnviroVision Solutions,Operational,ODF_sites,Reuben,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.597025,42.718699
digitized-camera-65,Hood Mountain,EnviroVision Solutions,Operational,ODF_sites,Hood Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-124.052353,42.935925
digitized-camera-66,Signal Tree,EnviroVision Solutions,Operational,ODF_sites,Signal Tree,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.778764,43.001775
digitized-camera-67,Dutchman Butte,EnviroVision Solutions,Operational,ODF_sites,Dutchman Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.660271,42.866651
digitized-camera-68,Silver Butte,EnviroVision Solutions,Operational,ODF_sites,Silver Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.378392,42.858982
digitized-camera-69,Canyon Mountain,EnviroVision Solutions,Operational,ODF_sites,Canyon Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.286014,42.902194
digitized-camera-70,Beaver Hill,EnviroVision Solutions,Operational,ODF_sites,Beaver Hill,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-124.30544,43.210098
digitized-camera-71,Marsters Ridge,EnviroVision Solutions,Operational,ODF_sites,Marsters Ridge,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.417501,43.187559
digitized-camera-72,Shutters Landing,EnviroVision Solutions,Operational,ODF_sites,Shutter Landing,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,name mismatch,-124.175532,43.53383
digitized-camera-73,Dean Mountain,EnviroVision Solutions,Operational,ODF_sites,Dean Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.97978,43.614528
digitized-camera-74,Ivers Peak,EnviroVision Solutions,Operational,ODF_sites,Ivers Peak,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.853147,43.403912
digitized-camera-75,Old Blue,EnviroVision Solutions,Operational,ODF_sites,Old Blue,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.669408,43.510516
digitized-camera-76,Yellow Butte,EnviroVision Solutions,Operational,ODF_sites,Yellow Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.40357,43.546523
digitized-camera-77,Mt Scott,EnviroVision Solutions,Operational,ODF_sites,Mt. Scott,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,name mismatch,-123.064403,43.371797
