Name,County,Lat,Long,Type,Status,NHLR/FFLOS
Carpenter Mountain,Linn,44.28119,-122.14385,Ground,Standing,"NHLR US 484, OR 77"
Chase Mountain,Klamath,42.09462,-121.99416,Tower,Standing,"NHLR US 485, OR 78"
Cinnamon Butte,Douglas,43.24102,-122.10986,Tower,Standing,"NHLR US 486, OR 79"
Clear Lake Butte,Wasco,45.15647,-121.71856,Tower,Standing,"NHLR US 11, OR 3"
Coffin Mountain,Linn,44.62139,-122.04433,Ground,Standing,"NHLR US 888, OR 114"
Cougar Pass,Douglas,43.59705,-123.87102,Tower,Standing,"NHLR US 952, OR 124"
Courtney Butte,Wallowa,45.88024,-117.37372,3-Story cab,Standing,"NHLR US 1184, OR 128"
Desolation Butte,Grant,44.85050,-118.66448,Tower,Standing,"NHLR US 1610, OR 137"
Devils Peak,Clackamas,45.26415,-121.87568,Tower,Standing,"NHLR US 521, OR 102"
Dixie Butte,Grant,44.58294,-118.62649,Ground,Standing,"NHLR US 657, OR 108"
Dog Mountain,Lake,42.11856,-120.71824,2-Story cab,Standing,"NHLR US 475, OR 71"
Drake Peak,Lake,42.30051,-120.15793,Ground,Standing,"NHLR US 487, OR 80"
Dry Mountain,Harney,43.67196,-119.56371,Tower,Standing,"NHLR US 426, OR 51"
Dry Soda,Grant,44.20831,-118.91087,Tower,Standing,"NHLR US 116, OR 16"
Dutchmans Peak,Jackson,42.04357,-122.89085,Ground,Standing,"NHLR US 19, OR 5"
Eagle Butte,Wasco,44.83982,-121.23481,Tower,Standing,"NHLR US 488, OR 81"
East Butte,Lake,43.66715,-120.99576,Tower,Standing,"NHLR US 464, OR 61"
Eden Ridge,Coos,42.87010,-123.95510,Tower,Standing,
Edson Butte,Coos,42.87244,-124.33409,Tower,Standing,
Elk Mountain,Wallowa,45.59815,-117.20542,Ground,Standing,"NHLR US 1614, OR 138"
Fairview Peak,Lane,43.58578,-122.65324,Tower,Standing,"NHLR US 472, OR 69"
Fall Mountain,Grant,44.29368,-119.04274,Tower,Standing,"NHLR US 115, OR 15"
Fivemile Butte,Wasco,45.41005,-121.46869,Tower,Standing,"NHLR US 914, OR 118"
Flagtail Mountain,Grant,44.18625,-119.28115,Tower,Standing,"NHLR US 454, OR 57"
Foley Butte,Crook,44.52703,-120.78501,Tower,Standing,"NHLR US 455, OR 58"
Fox Butte,Lake,43.61062,-120.84279,Tower,Standing,"NHLR US 146, OR 22"
Frazier Point,Grant,44.09404,-118.64800,Tower,Standing,"NHLR US 456, OR 59"
Garwood Butte,Douglas,43.14508,-122.28193,Ground,Standing,"NHLR US 1615, OR 139"
Gerow Butte,Crook,44.26323,-120.46000,Tower,Standing,"NHLR US 1616, OR 140"
Glass Hill,Union,45.20488,-118.07500,Tower,Standing*,
Gold Butte,Marion,44.80521,-122.08364,Ground,Standing,"NHLR US 134, OR 18"
Goodman Ridge,Umatilla,45.58912,-118.20925,Tower,Standing*,
Green Mountain,Lake,43.38672,-120.72490,Tower,Standing,"NHLR US 1618, OR 141"
Green Peter,Linn,44.48307,-122.58291,Ground,Standing,"NHLR US 490, OR 83"
Green Ridge,Jefferson,44.53392,-121.60882,Tower,Standing,"NHLR US 287, OR 32"
Grizzly Mountain,Curry,42.39725,-124.36531,Ground,Standing,"NHLR US 1619, OR 142"
Hager Mountain,Lake,43.00931,-121.03165,Ground,Standing,"NHLR US 1620, OR 143"
Halfway (Pine Ranger Station),Baker,44.86000,-117.08829,Tower,Standing,"NHLR US 1623, OR 144"
Halls Point,Jackson,42.80388,-122.54906,Ground,Standing,"NHLR US 491, OR 84"
Harl Butte,Wallowa,45.32863,-116.87712,Ground,Standing,"NHLR US 550, OR 103"
"Harris, Mount",Union,45.44042,-117.89312,Tower,Standing,"NHLR US 1635, OR 152"
Hat Point,Wallowa,45.43783,-116.66173,Tower,Standing,"NHLR US 605, OR 106"
Headquarters (Sod House) (USFWS),Harney,43.26376,-118.84292,Tower,Standing,"NHLR US 429, OR 54"
Henkle Butte,Deschutes,44.33567,-121.48585,3-Story cab,Standing,"NHLR US 915, OR 119"
Hershberger Mountain,Douglas,43.03353,-122.45491,Ground,Standing,"NHLR US 21, OR 6"
Hickman Butte,Clackamas,45.41298,-121.91152,Tower,Standing,"NHLR US 369, OR 43"
High Ridge,Union,45.68256,-118.10191,Tower,Standing,"NHLR US 551, OR 104"
Hogback Mountain,Klamath,42.24288,-121.70590,Tower,Standing,"NHLR US 492, OR 85"
Hoodoo Ridge,Wallowa,45.94772,-117.61091,Tower,Standing,"NHLR US 916, OR 120"
Horsefly Mountain,Klamath,42.26416,-121.04889,Tower,Standing,"NHLR US 332, OR 34"
Howard Butte,Wallowa,45.72377,-117.73710,Tower,Standing,"NHLR US 1624, OR 145"
Huckleberry Mountain,Lane,43.84666,-122.31814,Ground,Standing,"NHLR US 26, OR 8"
Illahee Rock,Douglas,43.34909,-122.56276,Tower,Standing,"NHLR US 98, OR 13"
Indian Ridge,Lane,44.00564,-122.25484,Tower,Standing,"NHLR US 133, OR 17"
Indian Rock,Grant,44.75680,-118.69165,Ground,Standing,"NHLR US 1625, OR 146"
"Ireland, Mount",Grant,44.83688,-118.32061,Ground,Standing,"NHLR US 1338, OR 153"
Johnson Rock,Union,45.12515,-118.40310,Tower,Standing,"NHLR US 1628, OR 147"
King Mountain,Harney,43.81051,-118.86906,Tower,Standing,"NHLR US 469, OR 66"
Lake O’ Woods,Curry,42.59419,-124.12857,Tower,Standing,"NHLR US 494, OR 87"
Lava Butte,Deschutes,43.91791,-121.35609,2-Story cab,Standing,"NHLR US 508, OR 100"
Little Cowhorn,Lane,44.03861,-122.50354,Ground,Standing,"NHLR US 400, OR 47"
Little Grayback,Josephine,42.19825,-123.49391,2-Story cab,Standing,"NHLR US 917, OR 121"
Long Ridge,Wallowa,45.67196,-116.90509,Tower,Standing,"NHLR US 1629, OR 148"
Lookout Mountain,Marion,44.87860,-122.39413,Tower,Standing,
Lookout Mountain,Union,45.85046,-117.78939,Tower,Standing,"NHLR US 604, OR 105"
Lookout Rock,Lake,42.46282,-120.80149,Tower,Standing,"NHLR US 336, OR 38"
Mackey (Norcross) Butte,Crook,43.78953,-119.81743,Ground,Standing,"NHLR US 1631, OR 149"
Madison Butte,Morrow,45.10738,-119.47482,Tower,Standing,"NHLR US 1632, OR 150"
McGraw,Wallowa,45.17636,-116.77812,Tower,Standing,"NHLR US 1633, OR 151"
Morgan Butte,Lake,42.53999,-120.54435,Ground,Standing,"NHLR US 495, OR 88"
Mule Peak,Union,45.13044,-117.50294,Ground,Standing,"NHLR US 1636, OR 154"
Odell Butte,Klamath,43.47064,-121.86397,Tower,Standing,"NHLR US 466, OR 63"
Onion Mountain,Josephine,42.45442,-123.61613,Tower,Standing,"NHLR US 393, OR 46"
P Ranch (USFWS),Harney,42.82848,-118.88655,Tower,Standing,"NHLR US 430, OR 55"
Parker Mountain,Klamath,42.10531,-122.27883,Tower,Standing,"NHLR US 497, OR 90"
Pearsoll Peak,Curry,42.29884,-123.84570,Ground,Standing,"NHLR US 51, OR 9"
Pechuck Mountain,Clackamas,44.93419,-122.29691,Ground,Standing,"NHLR US 2, OR 2"
Pelican Butte,Klamath,42.51338,-122.14526,Tower,Standing,"NHLR US 499, OR 92"
Pickett Butte,Douglas,42.94352,-122.85585,Tower,Standing,"NHLR US 354, OR 40"
Pig Iron,Douglas,43.26420,-122.37989,Tower,Standing,"NHLR US 335, OR 37"
"Pisgah, Mount",Wheeler,44.45707,-120.23616,Tower,Standing,"NHLR US 457, OR 60"
Point Prominence,Union,45.37176,-117.70209,Tower,Standing,"NHLR US 1638, OR 156"
Quail Prairie,Curry,42.24191,-124.04589,Tower,Standing*,"NHLR US 467, OR 64"
Rajneesh Ranch,Wasco,44.83310,-120.62426,Tower,Standing,"NHLR US 471, OR 68"
Rancheria Rock,Wheeler,44.89829,-120.13763,Ground,Standing,"NHLR US 470, OR 67"
Rattlesnake (USFWS),Harney,43.14139,-118.88897,Tower,Standing,
Red Butte,Douglas,43.16572,-122.88083,Tower,Standing,"NHLR US 390, OR 44"
Red Hill,Wallowa,45.78848,-117.10259,Tower,Standing,"NHLR US 1679, OR 166"
Riddle Mountain,Harney,43.10020,-118.49913,2-Story cab,Standing,"NHLR US 953, OR 125"
Ritter Butte,Grant,44.83359,-119.07136,3-Story cab,Standing,"NHLR US 658, OR 109"
Robinson Butte,Jackson,42.36451,-122.38170,Tower,Standing,"NHLR US 740, OR 112"
Round Mountain,Deschutes,43.75748,-121.71021,Ground,Standing,"NHLR US 468, OR 65"
Round Top,Jackson,42.70186,-122.99090,Tower,Standing,"NHLR US 501, OR 93"
Russel Mountain,Baker,45.06842,-117.08696,Tower,Standing,"NHLR US 1639, OR 157"
Rustler Peak,Jackson,42.61927,-122.34812,Tower,Standing,"NHLR US 217, OR 27"
Saddleblanket Mountain,Lane,43.89374,-122.51049,Tower,Standing,"NHLR US 25, OR 7"
Sand Mountain,Linn,44.38477,-121.92800,Tower,Standing,"NHLR US 1, OR 1"
"Scott, Mount",Klamath,42.92291,-122.01625,2-Story cab,Standing,"NHLR US 402, OR 49"
Sexton Mountain,Josephine,42.60014,-123.36548,Tower,Standing,"NHLR US 741, OR 113"
Shitike Butte,Jefferson,44.74501,-121.61079,Tower,Standing,"NHLR US 656, OR 107"
Sidwalter Butte,Wasco,44.92621,-121.53932,Tower,Standing,"NHLR US 739, OR 111"
Sisi Butte,Clackamas,44.89929,-121.84469,Tower,Standing,"NHLR US 368, OR 42"
Snow Camp,Curry,42.34389,-124.16547,Ground,Standing,"NHLR US 13, OR 4"
Snow Mountain,Grant,43.97038,-119.49632,Tower,Standing,"NHLR US 502, OR 94"
Soda Mountain,Jackson,42.06478,-122.47904,Tower,Standing,"NHLR US 340, OR 39"
South Baldy,Wheeler,44.65666,-119.97138,Tower,Standing,"NHLR US 1640, OR 158"
Spodue Mountain,Klamath,42.59306,-121.26905,Tower,Standing,"NHLR US 503, OR 95"
Spring Butte,Klamath,43.52332,-121.34810,Tower,Standing,"NHLR US 174, OR 25"
Squaw Peak,Jackson,42.06970,-123.01210,Ground,Standing,"NHLR US 504, OR 96"
