Site Name,Lattitude,Longitude,Coordinates,Camera Height (ft)
Mary's Peak West,44.507353,-123.572476,,AW (Live)
Monument,43.66426,-117.89131,,AW (Live)
PDX Tower,45.52028,-122.74476,,AW (Live)
Peterson Butte,44.505504,-122.961877,,AW (Live)
Pine Mountain,43.81126,-120.87449,,AW (Live)
PrairieRidge,44.27961,-123.5907,,AW (Live)
Rhinehart,43.97696,-117.22347,,AW (Live)
Riddle,43.10013,-118.4991,,AW (Live)
Smith Ridge,44.29507,-122.04087,,AW (Live)
Steens,42.63619,-118.57668,,AW (Live)
Timberline,45.33302,-121.71451,,AW (Live)
UOPLC,44.04415,-123.07834,,AW (Live)
Wagontire,43.34891,-119.891542,,AW (Live)
Cooper Mountain,45.45751,-122.86926,,AW (Live)
Rogue Valley Manor,42.307664,-122.8390006,,AW (Live)
Redmound,42.12326,-124.30008,,AW (Live)
KBO Bosley Butte,42.21203,-124.226,,AW (Live)
Fiddler,42.2403606,-123.767306,,AW (Live)
Powell Butte,44.19744,-120.97897,,AW (Live)
Hamaker,42.07764,-121.97322,,AW (Live)
Cline Butte,44.25183,-121.303628,,AW (Live)
Buxton Mountain,45.74376,-123.13497,,AW (Live)
Green Mtn Lookout,43.38672109,-120.7249555,,AW (Live)
McCully Mountain,44.763325,-122.63129,,AW (Live)
Herman Peak,44.12439,-124.01284,,AW (Live)
Henkle,44.33555,-121.48589,,AW (Live)
Acty Mountain,42.10378,-119.1329759,,AW (Live)
Applegate,42.707285,-121.718728,,AW (Live)
Table Mountain,44.475433,-123.836677,,AW (Live)
Jordan Butte,45.47179,-119.81005,,AW (Live)
Grizzly Mtn,44.43758,-120.954128,,AW (Live)
Butler Butte,42.76725,-124.26029,,AW (Live)
Glenada Ridge,43.9555,-124.07524,,AW (Live)
Quail Prairie Mtn,42.2416,-124.04546,,AW (Live)
Steens Mtn,42.63619,-118.57668,,AW (Live)
Willamette Pass,43.60672381,-122.0200014,,AW (Live)
Shaniko Tangager,45.025808,-120.837336,,AW (Live)
Halls Ridge,44.718899,-122.218521,,AW (Live)
Lenhart,45.350261,-122.16713,,AW (Live)
King Mountain Lookout,43.81028,-118.8688,,AW (Live)
Phoenix Water Tank,42.27574,-122.80443,,AW (Live)
Eagle Point Water Reservoir #3,42.45653,-122.78644,,AW (Live)
Central Point Water Reservioir,42.360421,-122.951014,,AW (Live)
Britt Water Tank,42.31406,-122.97586,,AW (Live)
Hampton Butte,43.77377,-120.2817,,AW (Live)
Jackass Mountain,43.04198,-118.95261,,AW (Live)
Warner Peak,42.45962786,-119.7413391,,AW (Live)
Stacker Butte,45.71162,-121.117535,,AW (Live)
Juniper,45.7405,-120.7308,,AW (Live)
Selah Butte,46.733534,-120.42908,,AW (Live)
Rattlesnake Ridge,46.49111,-119.97528,,AW (Live)
Callahan Ridge,42.905667,-122.961639,,AW (Live)
Cinnamon Butte,43.24096,-122.10956,,AW (Live)
Chelan Butte FTS,47.806984,-120.034255,,AW (Live)
Ski Badger FTS,47.57829924,-120.1960893,,AW (Live)
Roslyn Ridge FTS,47.24036,-120.97596,,AW (Live)
Tygh Ridge,45.29928,-121.08822,,AW (Live)
McClure FTS,48.317588,-120.114217,,AW (Live)
