Name,County,State,Lat,Long,Type,Status,NHLR/FFLOS
Hershberger Mountain,Douglas,OR,43.03353,-122.45491,Ground,Standing,"NHLR US 21, OR 6"
Hickman Butte,Clackamas,OR,45.41298,-121.91152,Tower,Standing,"NHLR US 369, OR 43"
High Ridge,Union,OR,45.68256,-118.10191,Tower,Standing,"NHLR US 551, OR 104"
Hogback Mountain,Klamath,OR,42.24288,-121.70590,Tower,Standing,"NHLR US 492, OR 85"
Hoodoo Ridge,Wallowa,OR,45.94772,-117.61091,Tower,Standing,"NHLR US 916, OR 120"
Horsefly Mountain,Klamath,OR,42.26416,-121.04889,Tower,Standing,"NHLR US 332, OR 34"
Howard Butte,Wallowa,OR,45.72377,-117.73710,Tower,Standing,"NHLR US 1624, OR 145"
Huckleberry Mountain,Lane,OR,43.84666,-122.31814,Ground,Standing,"NHLR US 26, OR 8"
Illahee Rock,Douglas,OR,43.34909,-122.56276,Tower,Standing,"NHLR US 98, OR 13"
Indian Ridge,Lane,OR,44.00564,-122.25484,Tower,Standing,"NHLR US 133, OR 17"
Indian Rock,Grant,OR,44.75680,-118.69165,Ground,Standing,"NHLR US 1625, OR 146"
"Ireland, Mount",Grant,OR,44.83688,-118.32061,Ground,Standing,"NHLR US 1338, OR 153"
Johnson Rock,Union,OR,45.12515,-118.40310,Tower,Standing,"NHLR US 1628, OR 147"
King Mountain,Harney,OR,43.81051,-118.86906,Tower,Standing,"NHLR US 469, OR 66"
Lake O’ Woods,Curry,OR,42.59419,-124.12857,Tower,Standing,"NHLR US 494, OR 87"
Lava Butte,Deschutes,OR,43.91791,-121.35609,2-Story cab,Standing,"NHLR US 508, OR 100"
Little Cowhorn,Lane,OR,44.03861,-122.50354,Ground,Standing,"NHLR US 400, OR 47"
Little Grayback,Josephine,OR,42.19825,-123.49391,2-Story cab,Standing,"NHLR US 917, OR 121"
Long Ridge,Wallowa,OR,45.67196,-116.90509,Tower,Standing,"NHLR US 1629, OR 148"
Lookout Mountain,Marion,OR,44.87860,-122.39413,Tower,Standing,
Lookout Mountain,Union,OR,45.85046,-117.78939,Tower,Standing,"NHLR US 604, OR 105"
Lookout Rock,Lake,OR,42.46282,-120.80149,Tower,Standing,"NHLR US 336, OR 38"
Mackey (Norcross) Butte,Crook,OR,43.78953,-119.81743,Ground,Standing,"NHLR US 1631, OR 149"
Madison Butte,Morrow,OR,45.10738,-119.47482,Tower,Standing,"NHLR US 1632, OR 150"
McGraw,Wallowa,OR,45.17636,-116.77812,Tower,Standing,"NHLR US 1633, OR 151"
Morgan Butte,Lake,OR,42.53999,-120.54435,Ground,Standing,"NHLR US 495, OR 88"
Mule Peak,Union,OR,45.13044,-117.50294,Ground,Standing,"NHLR US 1636, OR 154"
Odell Butte,Klamath,OR,43.47064,-121.86397,Tower,Standing,"NHLR US 466, OR 63"
Onion Mountain,Josephine,OR,42.45442,-123.61613,Tower,Standing,"NHLR US 393, OR 46"
P Ranch (USFWS),Harney,OR,42.82848,-118.88655,Tower,Standing,"NHLR US 430, OR 55"
Parker Mountain,Klamath,OR,42.10531,-122.27883,Tower,Standing,"NHLR US 497, OR 90"
Pearsoll Peak,Curry,OR,42.29884,-123.84570,Ground,Standing,"NHLR US 51, OR 9"
Pechuck Mountain,Clackamas,OR,44.93419,-122.29691,Ground,Standing,"NHLR US 2, OR 2"
Pelican Butte,Klamath,OR,42.51338,-122.14526,Tower,Standing,"NHLR US 499, OR 92"
Pickett Butte,Douglas,OR,42.94352,-122.85585,Tower,Standing,"NHLR US 354, OR 40"
Pig Iron,Douglas,OR,43.26420,-122.37989,Tower,Standing,"NHLR US 335, OR 37"
"Pisgah, Mount",Wheeler,OR,44.45707,-120.23616,Tower,Standing,"NHLR US 457, OR 60"
Point Prominence,Union,OR,45.37176,-117.70209,Tower,Standing,"NHLR US 1638, OR 156"
Quail Prairie,Curry,OR,42.24191,-124.04589,Tower,Standing*,"NHLR US 467, OR 64"
Rajneesh Ranch,Wasco,OR,44.83310,-120.62426,Tower,Standing,"NHLR US 471, OR 68"
Rancheria Rock,Wheeler,OR,44.89829,-120.13763,Ground,Standing,"NHLR US 470, OR 67"
Rattlesnake (USFWS),Harney,OR,43.14139,-118.88897,Tower,Standing,
Red Butte,Douglas,OR,43.16572,-122.88083,Tower,Standing,"NHLR US 390, OR 44"
Red Hill,Wallowa,OR,45.78848,-117.10259,Tower,Standing,"NHLR US 1679, OR 166"
Riddle Mountain,Harney,OR,43.10020,-118.49913,2-Story cab,Standing,"NHLR US 953, OR 125"
Ritter Butte,Grant,OR,44.83359,-119.07136,3-Story cab,Standing,"NHLR US 658, OR 109"
Robinson Butte,Jackson,OR,42.36451,-122.38170,Tower,Standing,"NHLR US 740, OR 112"
Round Mountain,Deschutes,OR,43.75748,-121.71021,Ground,Standing,"NHLR US 468, OR 65"
Round Top,Jackson,OR,42.70186,-122.99090,Tower,Standing,"NHLR US 501, OR 93"
Russel Mountain,Baker,OR,45.06842,-117.08696,Tower,Standing,"NHLR US 1639, OR 157"
Rustler Peak,Jackson,OR,42.61927,-122.34812,Tower,Standing,"NHLR US 217, OR 27"
Saddleblanket Mountain,Lane,OR,43.89374,-122.51049,Tower,Standing,"NHLR US 25, OR 7"
Sand Mountain,Linn,OR,44.38477,-121.92800,Tower,Standing,"NHLR US 1, OR 1"
"Scott, Mount",Klamath,OR,42.92291,-122.01625,2-Story cab,Standing,"NHLR US 402, OR 49"
Sexton Mountain,Josephine,OR,42.60014,-123.36548,Tower,Standing,"NHLR US 741, OR 113"
Shitike Butte,Jefferson,OR,44.74501,-121.61079,Tower,Standing,"NHLR US 656, OR 107"
Sidwalter Butte,Wasco,OR,44.92621,-121.53932,Tower,Standing,"NHLR US 739, OR 111"
Sisi Butte,Clackamas,OR,44.89929,-121.84469,Tower,Standing,"NHLR US 368, OR 42"
Snow Camp,Curry,OR,42.34389,-124.16547,Ground,Standing,"NHLR US 13, OR 4"
Snow Mountain,Grant,OR,43.97038,-119.49632,Tower,Standing,"NHLR US 502, OR 94"
Soda Mountain,Jackson,OR,42.06478,-122.47904,Tower,Standing,"NHLR US 340, OR 39"
South Baldy,Wheeler,OR,44.65666,-119.97138,Tower,Standing,"NHLR US 1640, OR 158"
Spodue Mountain,Klamath,OR,42.59306,-121.26905,Tower,Standing,"NHLR US 503, OR 95"
Spring Butte,Klamath,OR,43.52332,-121.34810,Tower,Standing,"NHLR US 174, OR 25"
Squaw Peak,Jackson,OR,42.06970,-123.01210,Ground,Standing,"NHLR US 504, OR 96"
"Stella, Mount",Jackson,OR,42.93754,-122.43469,Tower,Standing,"NHLR US 496, OR 89"
Stubblefield Butte (USFWS),Harney,OR,43.17083,-118.91706,Tower,Standing,
Sugarloaf Mountain,Harney,OR,43.91573,-119.23928,Tower,Standing,"NHLR US 427, OR 52"
Sugarpine Mountain,Klamath,OR,43.11696,-121.60711,Tower,Standing,"NHLR US 1641, OR 159"
Summit Point,Baker,OR,44.98287,-117.23926,Tower,Standing,"NHLR US 1642, OR 160"
Table Mountain,Jackson,OR,42.19776,-122.49288,Tower,Standing,"NHLR US 1643, OR 161"
Table Rock,Baker,OR,44.33403,-118.31656,Ground,Standing,"NHLR US 263, OR 31"
